sample,roi_name,t,mae,psnr,ssim
0,roi1,0,0.04567207023501396,22.827209444027403,0.6501745222339774
1,roi1,1,0.044606540352106094,22.452764082186047,0.6234494298788597
2,roi1,2,0.05767439678311348,20.40052889043252,0.6670014525133509
3,roi1,3,0.05177810415625572,21.4558197500861,0.6941895255810819
4,roi1,4,0.04431799426674843,22.546451799833015,0.75101776118435
5,roi1,5,0.052920591086149216,21.556250161755266,0.6596752691865383
6,roi1,6,0.0542488768696785,21.365818357216785,0.677355007966242
7,roi1,7,0.05096634849905968,21.922160357745128,0.6970144265620892
8,roi1,8,0.04098771885037422,23.623521003371415,0.7561987788364024
9,roi1,9,0.06399638205766678,19.368982596325488,0.6118343762524355
10,roi1,10,0.05296390503644943,21.384042341260546,0.7088128756937173
11,roi1,11,0.05643710866570473,20.81111037940665,0.6562642209566936
12,roi1,12,0.0635676383972168,19.866470239439145,0.6159196441406597
13,roi1,13,0.058770518749952316,20.44007897045098,0.6429987655671853
14,roi1,14,0.0681195855140686,19.205028965047152,0.5772118423666716
15,roi1,15,0.0683969259262085,19.631425413474627,0.576103101903309
16,roi1,16,0.07390742748975754,19.19885367298145,0.5388961203940902
17,roi1,17,0.06287606060504913,20.046988603737347,0.6114377158761656
18,roi1,18,0.058415595442056656,20.572812481727993,0.6366040390079103
19,roi1,19,0.05395544692873955,21.597089290420513,0.6362724345909639
20,roi1,20,0.035551656037569046,25.208267670153543,0.7197350159817332
21,roi1,21,0.049746956676244736,22.00380872348944,0.6959697165254591
22,roi1,22,0.06630083173513412,18.85538545883638,0.6251253380051145
23,roi1,23,0.046210888773202896,22.611514730702176,0.7369698519867424
24,roi1,24,0.04917500540614128,21.560513462812814,0.7087485169690642
25,roi1,25,0.04035777598619461,23.941253844463226,0.7580062632258494
26,roi1,26,0.04430291801691055,23.17925371895877,0.6818261355366717
27,roi1,27,0.0442790687084198,23.263225079035866,0.7471369136403431
28,roi1,28,0.03803631663322449,24.431942587541435,0.7633154813994464
29,roi1,29,0.06016002595424652,20.157471819666277,0.644155088989788
30,roi1,30,0.05273376777768135,21.75146579021404,0.6613036489677934
31,roi1,31,0.05363816022872925,21.774565486809493,0.6555228350929695
32,roi1,32,0.0444822758436203,22.754472765958052,0.7320270830929656
33,roi1,33,0.04275168851017952,23.38214712749933,0.7299051337019707
34,roi1,34,0.045886557549238205,19.241552427720126,0.7709690117211176
35,roi1,35,0.03751634433865547,24.472905172645664,0.7020461824975134
36,roi1,36,0.07376861572265625,18.702622148331137,0.5771963291511657
37,roi1,37,0.08103464543819427,18.379430851309923,0.5002595692644588
38,roi1,38,0.028348108753561974,25.39967479165846,0.7412530812824566
39,roi1,39,0.04999610409140587,22.173373477902448,0.6822460397501917
40,roi1,40,0.05537910759449005,20.94758923155186,0.6550039127581206
41,roi1,41,0.04713505133986473,22.352604791250265,0.6901912416221673
42,roi1,42,0.053595781326293945,21.463103577024118,0.6480843960417267
43,roi1,43,0.050159160047769547,21.88284704810237,0.690943691020024
44,roi1,44,0.047576550394296646,22.491923890730433,0.7095699567405528
45,roi1,45,0.033435720950365067,26.580305721568926,0.7437748794895561
46,roi1,46,0.04141925647854805,23.026581597224222,0.7272067293944331
47,roi1,47,0.0458335354924202,22.252783511900308,0.7528262247810569
48,roi1,48,0.06305202096700668,19.793974587712245,0.6306666790009928
49,roi1,49,0.03704234957695007,22.110654097449668,0.7976109936114282
50,roi1,50,0.030985161662101746,23.996287132118454,0.8173079141800108
51,roi1,51,0.04489695280790329,22.73298043586619,0.7422180119488443
52,roi1,52,0.043722134083509445,23.277172050877137,0.7204890638256788
53,roi1,53,0.0440666601061821,22.94514179826699,0.7173025540527725
54,roi1,54,0.05363524332642555,21.465053374555904,0.6688573356144704
55,roi1,55,0.04169745370745659,23.303842200888397,0.7030003607141955
56,roi1,56,0.04546951875090599,20.8796146542255,0.6651805000873282
57,roi1,57,0.04146736115217209,23.502543148769234,0.7257594418142393
58,roi1,58,0.04981487616896629,21.923710333332203,0.6722674572934133
59,roi1,59,0.05377575755119324,21.32246230109336,0.6498055763996969
60,roi1,60,0.04700513184070587,22.530040539672672,0.6969289368554775
61,roi1,61,0.05689623951911926,20.81431007419118,0.678630712815391
62,roi1,62,0.04723506048321724,21.901350951196342,0.726426353105968
63,roi1,63,0.053488582372665405,21.249379262103204,0.6454112178236902
64,roi1,64,0.043023232370615005,23.324173675013462,0.7478595258559194
65,roi1,65,0.05166274309158325,21.699593143497093,0.6954472050581998
66,roi1,66,0.04896227642893791,21.98503013770771,0.7190977155072278
67,roi1,67,0.057489801198244095,20.937718399193624,0.6450013500513495
68,roi1,68,0.05301389470696449,21.88255902295372,0.6736150461208377
69,roi1,69,0.04088157042860985,22.79133852124709,0.7656306360689891
70,roi1,70,0.033155493438243866,25.808717483715956,0.7119374892431823
71,roi1,71,0.03334246948361397,25.845143337118902,0.6962619588912085
72,roi1,72,0.03541283681988716,25.2119262441285,0.6931148284876821
73,roi1,73,0.03946196287870407,24.368192868132574,0.6689474140657831
74,roi1,74,0.03838178142905235,24.25342439080414,0.6721338216781287
75,roi1,75,0.0322570838034153,25.678039255484023,0.7184352209276248
76,roi1,76,0.041078533977270126,23.105962999115853,0.6787946306452683
77,roi1,77,0.03757161647081375,24.058650281961032,0.7232813948126238
78,roi1,78,0.033608101308345795,25.572103990176483,0.7071275645458742
79,roi1,79,0.03082112781703472,25.99876548646101,0.7388531709370548
80,roi1,80,0.029874039813876152,26.745352380089983,0.751675664313242
81,roi1,81,0.037301406264305115,24.42005170832113,0.7104418967191345
82,roi1,82,0.03570522367954254,23.67917472837771,0.75572992142742
83,roi1,83,0.03417891636490822,25.02209293123938,0.7347969114423826
84,roi1,84,0.020794004201889038,29.55288699519752,0.8434858549393378
85,roi1,85,0.036501701921224594,24.55806257874339,0.6893941862958889
86,roi1,86,0.03181847929954529,25.813970118363887,0.7659926827716421
87,roi1,87,0.03144904226064682,26.376158007952082,0.7203773523403199
88,roi1,88,0.05472136288881302,19.117633324987413,0.7553630026738949
89,roi1,89,0.038595154881477356,23.990876233898106,0.6955562426693915
90,roi1,90,0.0340864323079586,25.811409029422624,0.7002977315093308
91,roi1,91,0.03728806599974632,23.92048179145747,0.7869487957065086
